model,condition,n,flip_count,flip_rate,flip_ci_low,flip_ci_high,safety_downgrade_count,safety_downgrade_rate,safety_downgrade_ci_low,safety_downgrade_ci_high,over_escalation_count,over_escalation_rate,over_escalation_ci_low,over_escalation_ci_high
Qwen/Qwen2.5-7B-Instruct,reorder,320,33,0.103125,0.074377,0.141289,13,0.040625,0.023893,0.068256,20,0.0625,0.04082,0.094559
Qwen/Qwen2.5-7B-Instruct,add_lowstakes,320,21,0.065625,0.04332,0.098235,11,0.034375,0.019301,0.060496,10,0.03125,0.017061,0.056559
Qwen/Qwen2.5-7B-Instruct,add_highstakes,320,10,0.03125,0.017061,0.056559,4,0.0125,0.004871,0.031694,6,0.01875,0.008621,0.040296
Qwen/Qwen2.5-7B-Instruct,compress,320,17,0.053125,0.03343,0.083422,10,0.03125,0.017061,0.056559,7,0.021875,0.010636,0.044457
Qwen/Qwen2.5-7B-Instruct,expand,320,9,0.028125,0.014866,0.052579,4,0.0125,0.004871,0.031694,5,0.015625,0.006692,0.036049
Qwen/Qwen2.5-7B-Instruct,paraphrase,320,20,0.0625,0.04082,0.094559,11,0.034375,0.019301,0.060496,9,0.028125,0.014866,0.052579
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reorder,320,36,0.1125,0.082376,0.151817,32,0.1,0.071728,0.137762,4,0.0125,0.004871,0.031694
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,add_lowstakes,320,13,0.040625,0.023893,0.068256,12,0.0375,0.02158,0.064393,1,0.003125,0.000552,0.017486
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,add_highstakes,320,8,0.025,0.012721,0.048548,7,0.021875,0.010636,0.044457,1,0.003125,0.000552,0.017486
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,compress,320,10,0.03125,0.017061,0.056559,3,0.009375,0.003193,0.027196,7,0.021875,0.010636,0.044457
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,expand,320,14,0.04375,0.026237,0.072087,10,0.03125,0.017061,0.056559,4,0.0125,0.004871,0.031694
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,paraphrase,320,22,0.06875,0.045837,0.101895,8,0.025,0.012721,0.048548,14,0.04375,0.026237,0.072087
google/gemma-2-9b-it,reorder,320,56,0.175,0.137292,0.220418,14,0.04375,0.026237,0.072087,42,0.13125,0.098588,0.172661
google/gemma-2-9b-it,add_lowstakes,320,19,0.059375,0.038337,0.090866,15,0.046875,0.02861,0.07589,4,0.0125,0.004871,0.031694
google/gemma-2-9b-it,add_highstakes,320,16,0.05,0.031008,0.079668,10,0.03125,0.017061,0.056559,6,0.01875,0.008621,0.040296
google/gemma-2-9b-it,compress,320,10,0.03125,0.017061,0.056559,4,0.0125,0.004871,0.031694,6,0.01875,0.008621,0.040296
google/gemma-2-9b-it,expand,320,13,0.040625,0.023893,0.068256,7,0.021875,0.010636,0.044457,6,0.01875,0.008621,0.040296
google/gemma-2-9b-it,paraphrase,320,12,0.0375,0.02158,0.064393,6,0.01875,0.008621,0.040296,6,0.01875,0.008621,0.040296
meta-llama/Llama-3.1-8B-Instruct,reorder,320,40,0.125,0.093155,0.165742,1,0.003125,0.000552,0.017486,39,0.121875,0.090449,0.162272
meta-llama/Llama-3.1-8B-Instruct,add_lowstakes,320,8,0.025,0.012721,0.048548,3,0.009375,0.003193,0.027196,5,0.015625,0.006692,0.036049
meta-llama/Llama-3.1-8B-Instruct,add_highstakes,320,7,0.021875,0.010636,0.044457,3,0.009375,0.003193,0.027196,4,0.0125,0.004871,0.031694
meta-llama/Llama-3.1-8B-Instruct,compress,320,3,0.009375,0.003193,0.027196,1,0.003125,0.000552,0.017486,2,0.00625,0.001716,0.022498
meta-llama/Llama-3.1-8B-Instruct,expand,320,10,0.03125,0.017061,0.056559,1,0.003125,0.000552,0.017486,9,0.028125,0.014866,0.052579
meta-llama/Llama-3.1-8B-Instruct,paraphrase,320,8,0.025,0.012721,0.048548,5,0.015625,0.006692,0.036049,3,0.009375,0.003193,0.027196
mistralai/Mistral-7B-Instruct-v0.3,reorder,320,25,0.078125,0.053475,0.112784,18,0.05625,0.035874,0.087154,7,0.021875,0.010636,0.044457
mistralai/Mistral-7B-Instruct-v0.3,add_lowstakes,320,22,0.06875,0.045837,0.101895,16,0.05,0.031008,0.079668,6,0.01875,0.008621,0.040296
mistralai/Mistral-7B-Instruct-v0.3,add_highstakes,320,13,0.040625,0.023893,0.068256,10,0.03125,0.017061,0.056559,3,0.009375,0.003193,0.027196
mistralai/Mistral-7B-Instruct-v0.3,compress,320,12,0.0375,0.02158,0.064393,9,0.028125,0.014866,0.052579,3,0.009375,0.003193,0.027196
mistralai/Mistral-7B-Instruct-v0.3,expand,320,16,0.05,0.031008,0.079668,4,0.0125,0.004871,0.031694,12,0.0375,0.02158,0.064393
mistralai/Mistral-7B-Instruct-v0.3,paraphrase,320,13,0.040625,0.023893,0.068256,7,0.021875,0.010636,0.044457,6,0.01875,0.008621,0.040296
